carrierName,accessNumber
"AT&T","6157209901"
"AT&T","7044518989"
"AT&T","9014916245"
"AT&T","2147949901"
"AT&T","2142137096"
"AT&T","2143844805"
"AT&T","2145362395"
"AT&T","2148869999"
"AT&T","2543666111"
"AT&T","5129409999"
"AT&T","7134160054"
"AT&T","7138221599"
"AT&T","7135161750"
"AT&T","7135570445"
"AT&T","7135570446"
"AT&T","7135601276"
"AT&T","8062529009"
"AT&T","8065439999"
"AT&T","8179999302"
"AT&T","9562029000"
"AT&T","8017910093"
"AT&T","7036098378"
"AT&T","4105304141"
"AT&T","2062401234"
"AT&T","3603881234"
"AT&T","3604711234"
"AT&T","3603881234"
"AT&T","4252417064"
"AT&T","2624989993"
"AT&T","4145340037"
"AT&T","8472840155"
"T-Mobile USA, Inc.","8056377243"
"Verizon","7273859999"
"Verizon","8045123245"
"Verizon","3034899200"
"Verizon","7273859999"
"Verizon","5153219200"
"Verizon","2088669200"
"Verizon","4102076245"
"Verizon","4103716245"
"Verizon","4432066245"
"Verizon","4434656245"
"Verizon","2406876245"
"Verizon","3017046245"
"Verizon","3018026245"
"Verizon","4026819200"
"Verizon","6094108686"
"Verizon","5416893110"
"Verizon","4842258686"
"Verizon","6102168686"
"Verizon","2155108686"
"Verizon","2156208686"
"Verizon","2157048686"
"Verizon","2158058686"
"Verizon","6103898686"
"Verizon","6107158686"
"Verizon","6109378686"
"Verizon","2675668686"
"Verizon","4122156245"
"Verizon","4846788686"
"Verizon","6052286245"
"Verizon","6052816245"
"Verizon","6056956245"
"Verizon","6058606245"
"Verizon","6059206245"
"Verizon","6058646245"
"Verizon","6057696245"
"Verizon","6058486245"
"Verizon","6058306245"
"Verizon","6058706245"
"Verizon","6058906245"
"Verizon","6053546245"
"Verizon","6056806245"
"Verizon","6054816245"
"Verizon","6055806245"
"Verizon","6052706245"
"Verizon","6052226245"
"Verizon","6053906245"
"Verizon","6054506245"
"Verizon","6054216245"
"Verizon","6056456245"
"Verizon","6054906245"
"Verizon","6056706245"
"Verizon","6056606245"
"Verizon","8018919201"
"Verizon","7034056245"
"Verizon","7035176245"
"Verizon","7032826245"
"Verizon","8022386245"
"Verizon","5099939200"
"US Cellular","7074986245"
"US Cellular","7074896245"
"US Cellular","3522146245"
"US Cellular","7722846245"
"US Cellular","5152059954"
"US Cellular","5152507600"
"US Cellular","8473618888"
"US Cellular","3095259952"
"US Cellular","8152899999"
"US Cellular","7653636245"
"US Cellular","2075576245"
"US Cellular","5738817632"
"US Cellular","4175316245"
"US Cellular","8287797600"
"US Cellular","8287740038"
"US Cellular","9192229951"
"US Cellular","2527176245"
"US Cellular","2523419952"
"US Cellular","9199159910"
"US Cellular","6036206245"
"US Cellular","6033456245"
"US Cellular","6033816245"
"US Cellular","6033986245"
"US Cellular","9186366245"
"US Cellular","5418216245"
"US Cellular","9319797606"
"US Cellular","8656607600"
"US Cellular","8656599951"
"US Cellular","3613196245"
"US Cellular","9567446245"
"US Cellular","8303176245"
"US Cellular","5408749951"
"US Cellular","5405807665"
"US Cellular","8023846245"
"US Cellular","5099486245"
